,emotion,labels_clean
24,angry,I am sorry to hear that Did it happen out of the blue
25,angry,I am sorry to hear that I hope it turned out to be a blessing in decise
26,angry,Yes it was a complete surprise
47,angry,What happened for you to feel that way
48,angry,Oh that does sound terrible What did you guys decide to do
49,angry,I was at the beach and a hurricane changed track and was coming straight at us My boyfriend didnt want to leave because we were on the second day only of our vacation
50,angry,Well we ended up leaving I was too scared to stay and was really upset
60,annoyed,It must be so frustrating to have to answer the same thing over and over Is she older
61,annoyed,My aunt does the same thing I think what she is doing is accidentally deleting texts and she doesnt understand how to check her contacts list What do you think is happening with your coworker
62,annoyed,Yes she is She is telling that all the cell phone that she has been using have deleting her contacts
63,angry,What is the problem with the engine
64,angry,Sorry to hear that I hope you find what is the problem with the engine
65,angry,It has a miss Sometimes when you are driving it sputters and jerks and barely has any power Other times it drives just fine I have replaced so many things on it and nothing makes a difference for very long
103,annoyed,Yes I think that everyone does What about you
104,annoyed,Thats too bad Our janitor is very friendly
105,annoyed,yes a few that drive me nuts the janitor is the worst
106,annoyed,she comes in my office smelling like smoke trying to chat it up rather than do her job 
165,annoyed,what is your job position
166,annoyed,Thats very bad
167,annoyed,I do sales work but he always lies to us and takes our bonus money 
176,disgusted,Yeah its really frustrating when they wont have more eople on 
177,disgusted,Exactly Hopefully more places will get selfcheckout so we can get through the line faster 
178,disgusted,Especially when its a time of day that they know will be crowded and busy
179,disgusted,I dont mind those sometimes sometimes I prefer they do it
185,angry,And then what
186,angry,I understand that must suck
187,angry,Its frustrating when I go from 24 an hour to 10 an hour because of his lies 
217,angry,This is terrible So sad to hear that What did you do then
218,angry,Did she already move out
219,angry,I made them both leave but me and Liz are breaking up 
220,angry,I asked her to come and pack her bags Enough is enough I can not do this with her anymore
224,disgusted,I would have gotten out right then I believe
225,disgusted,I guess you rolled all the windows down too and held your breath
226,disgusted,I still took it since it was late but I rode in the front seat
227,disgusted,It was gross but I was super tired I only paid half for the ride though
286,angry,Oh no Bugs really creep me out
287,angry,what did the landlor do about it Did you have to call an exterminator
288,angry,me too i really was freaking out 
312,annoyed,Shame on them
313,annoyed,You should report him Anonymously You shouldt have to deal with that every day
314,annoyed,It is bothering me a lot This coworker is not competent and he spend this time making jokes on other people
318,annoyed,What are they doing that is upsetting you
319,annoyed,Have you made a formal complaint against them yet
320,annoyed,You should report it to your local police department Building and documenting this can help you
321,annoyed,They argue constantly and we live in apartments so I can hear everything They even call the police a lot
322,annoyed,Yes but I think they know the landlord
375,disgusted,I would have went running like forest gump  what did you do 
376,disgusted,Going to have to burn the whole house down now and move LOL just joking 
377,disgusted,went back inside the house and called animal control it looked like a copperhead so im not messing with them
378,disgusted,i totally would lol i hate snakes and bugs and spiders
408,disgusted,I dont like rude people either did you tell him 
409,disgusted,Oh god give it a few days and then try to sort it out 
410,disgusted,I did and then we got into a argument about it
411,annoyed,Oh yeah I am sure it is have you talked to them about paying for it 
412,annoyed,That really sucks i guess all you can do is get a metal type of fence or maybe one with spikes  lol  
413,annoyed,Im afraid to unfortunately They broke the window once and I had to get police involved
633,annoyed,Why dont you say something
634,annoyed,That isnt nice
635,annoyed,i did she calls me a helicopter parent and just laughs at me
672,angry,That is terrible does it smell
673,angry,You should tell someone
674,angry,no Thats not the problem Sometimes people leave their trash on the outside and then there are a lot of raccoons out there at night
675,angry,I have for 5 years Everyone should just move awawy and I live here alone lol
679,annoyed,what did he do
680,annoyed,yes i can see how it can bbe annoying
681,annoyed,He just talks too much
725,disgusted,Did he have a weapon
726,disgusted,What were you gonna do if you caught him
727,disgusted,Yes but only a small knife
788,angry,Im doing pretty alright what about you
789,angry,Absolutely it is one of my biggest pet peeves especially when people accuse me of lying too
790,angry,I have been better I just am kind of annoyed with lying  Does lying annoy you also
791,angry,Yea its the worst  Especially when someone lies to you and you forgive them but that little bit of anxiety is always in you thinking what if they are lying now again
880,angry,Yikes that must of been a bit scary How did it go
881,angry,Thats something at least I hope they catch him
882,angry,Yeah I have a friend who has gone through the same situation She just wants whats best best for her kids I hope things get better for you
883,angry,The other party didnt show up so they put out a warrant for him I dont have to go back now
884,angry,They always do and then we start all over again Its sad
915,annoyed,Oh no was it an important meal
916,annoyed,Thats so sad  What did you end up doing instead
917,annoyed,What went wrong with the pizza you were trying to make
918,annoyed,Yes it was my nephews birthday party pizza And I promised him I would make his favorite pepperoni pizza 
919,annoyed,We had to order from a fast food chain It wasnt bad but fair to say my nephew was disappointed in me
920,annoyed,It left in the oven and was distracted by my boss
953,annoyed,Thats usually a sign of a lack of confidence or self esteem  in ones self I believe 
954,annoyed,I hope you he changes some so you can still be friends 
955,annoyed,That wouldnt surprise me He has always been a bit insecure
996,disgusted,That is scary what are you going to do about it
997,disgusted,Wow that is sad I hope you get that fixed
998,disgusted,I dont know I had a cute beaver and there was just a head and eyes left of some small animal that looked like him left in my yard ugh
999,disgusted,thanks
1046,angry,I did too honestly I have really improved them myself good to hear that you have too
1047,angry,Although I still deal with stress occasionally I know exactly what you mean 
1048,angry,Yeah being a lot calmer is nice and well less stress really
1108,annoyed,Was the person one of those one people who goes like 5 miles an hour in a 65
1109,annoyed,The question is did the woman at least do a good job  from what you could see
1110,annoyed,No but I do hate those too We were in bumper to bumper traffic and this woman is putting on her makeup  She doesnt notice when the car in front of her moves and we miss the light Ugh
1111,annoyed,LOL Not my place to judge  I was so hopping mad about having to sit through that stupid light again 
1146,angry,sibling fights worth living for I wish  i had one
1147,angry,you would know better hehe
1148,angry,I am glad I do I just wish they could shutup sometimes haha
1225,annoyed,What is it about their style of play that youre not a fan of
1226,annoyed,I see where youre coming from 
1227,annoyed,They are to defensiveTheir games are so boring
1258,annoyed,What happened
1259,annoyed,Oh no Thats awful Did you report something that had occurred at your job 
1260,annoyed,Yeah thats good Its hard to know whether to blow the whistle sometimes It could always come back for you Im glad that it sounds like it worked out
1261,annoyed,Yeah navigating those sorts of things is treacherous but as long as you know youre doing the right thing thats all you can do 
1262,annoyed,They tried to make out I was bad at my job thats the last time Ill give somebody a heads up at my own expense again
1263,annoyed,I sure did thankfully Ive been there a lot longer so they know me well enough
1264,annoyed,It did but it could have ended very badly for me or even have resulted in me losing my job
1274,disgusted,I stand behind him Compared to the rest of the world we are to easy on illegal immigrants and this is coming from a Mexican American 
1275,disgusted,How so because I want everyone in this place to be safe You need to google immigration in other parts of the world and you will realize how awesome it is here
1276,disgusted,Its sad that you have such a small mind
1277,disgusted,Its coming form a traitor you mean
1278,disgusted,I do not care about other parts of the worldI care about how my country treats immigrants
1311,annoyed,That is terrible  Were you able to do anything about it
1312,annoyed,Did you speak to a counselor priest or family member about it
1313,annoyed,No it was terrible period for me There was sometime that could sleep a full night
1336,disgusted,Oh wow that sounds awful was it graphic
1337,disgusted,Im so sorry you had to go through that
1338,disgusted,Yes the image keep coming back Terrible
1339,angry,Sorry to hear about that Did you ask him to move out of the house
1340,angry,Did you know the person who was with him
1341,angry,No we are working on sorting things out but I am still very hurt
1342,angry,Yes unfortunately
1352,annoyed,I know that pain  Did he keep you up watching tv or video games
1353,annoyed,Because mine does the same thing If its not video games its the TV on full blast haha Tell him you need your beauty sleep
1354,annoyed,Video games How did you know
1515,disgusted,I SO agree I would not want to live like that And its one thing if theyre only affecting themselves  but when its aimed at others  the worst
1516,disgusted,Isnt that weird I mean it takes energy to be that negative Does your brother feel that too Or just cantwont see it
1517,disgusted,I knowMy brothers sister is a very negative person who dislikes a lot of people for no reason
1524,angry,OH I am sorry to hear that How
1525,angry,Oh no I hope you can fix it
1526,angry,I dropped it lol
1563,angry,Why do you fail Do you not study
1564,angry,No one is smart until they learn to be smart We are all born with brains but not smarts We must gain smarts
1565,angry,I do study but I am not smart
1575,disgusted,I know that must have been so disappointing
1576,disgusted,Well there will always be other chances for this match up to play out again
1577,disgusted,We would beat them in the regular season over and over but when it came to the finals and specifically the 98 finals the Bulls just ruined any chance the Jazz had
1581,annoyed,Does he have good characteristics too or is he just annoying all the time
1582,annoyed,Does he at least have interesting things to say when he talks
1583,annoyed,He is a nice guy but talks too much
1624,angry,What did he do
1625,angry,Did you try to bribe him
1626,angry,I asked him three times today to do his chores and they still arent done  I dont know what I have to do to make him listen
1665,angry,I love Donald Trump
1666,angry,No he lowered my taxes
1667,angry,There must be something wrong with your soul then
1683,disgusted,What score did they get
1684,disgusted,Yes I wouldnt go back
1685,disgusted,Im not sure but the report said there were over 20 bugs found Can you imagine how gross the kitchen must be
1719,annoyed,Is it ok
1720,annoyed,I do not like salesman
1721,annoyed,Yes its fine but the salesman tried insisting it required a bunch of unnecessary things like synthetic oil which costs twice as much I know for a fact that was a lie
1744,annoyed,I have not and dont want to
1745,annoyed,I do like a good sandwich thou But I eat slow
1746,annoyed,Well youre one of the lucky ones
1750,angry,Was it pretty close
1751,angry,Bummer  Havent seen it  Dont watch soccer but I respect the sport
1752,angry,They lost in overtime so yes
1756,disgusted,Why She seems to be nice person
1757,disgusted,Oh I didnt know about that How she is able to steal money
1758,disgusted,She lies and steals money
1784,disgusted,Wow thats pretty bad parenting
1785,disgusted,Is it for religious reasons
1786,disgusted,Thats what my husband and I think  I mean even when they were babies and would run 103 fever she wouldnt take them  I just do not understand that at all  they are both grown now but shes pretty uninvolved with either of them
1861,disgusted,I watched a movie based off a true story on that once It was truely a sad story for the little girl and her parents
1862,disgusted,It was a korean movie Dont recall the name
1863,disgusted,What movie was it
1876,angry,Im glad you and your husband communicate enough to know that
1877,angry,What do you say to your kids to deal with it
1878,angry,Its frustrating though never knowing how shes going to interpret something and then share it with others  Some of the things shes told our kids have been just horrible
1882,angry,Wow What a mature teacher
1883,angry,Was the fire related to the incident or did she get in trouble for something else
1884,angry,Yeah she eventually was fired a year later but it still makes me angry to think about it
1927,angry,I am sorry kids can be mean
1928,angry,Some people do not need to be in charge when it comes to school they are truly worthless sometimes
1929,angry,Yes they can  But I blame the parents also these kids bullied her to the point that I had to have her removed from that class  the principles wouldnt even do anything
1948,angry,Wow The DMV is just dreadful to go to because of stuff like that
1949,angry,Yea it would be How faw is your DMV
1950,angry,Yes it is Would have been a lot easier if I could have done it online
1961,annoyed,The DMV really should be better by now Did you get a chance to do anything during the wait
1962,annoyed,Wow Just one inconveniece after another Its no wonder people dread having to deal with the DMV
1963,annoyed,I actually did not I didnt get to charge my phone the night before so while I was waiting it died 
2044,angry,My day was pretty good I got to work from home and pack for my trip this weekend
2045,angry,I am going to Cali to see all of the national parks
2046,angry,I plan to go to both of those parks plus Lake Tahoe and Las Vegas I have never been to Vegas
2047,angry,That sounds fun  Where are you going
2048,angry,Nice  Which ones will you be going to  Ive been to Yosemite and Sequoia  Both are awesome
2067,angry,Interesting Did you apprehend him
2068,angry,I could imagine the experience That was a wise thing you did
2069,angry,No I just secured my phone and walked off I was supper annoyed
2086,annoyed,Oh no are you ok
2087,annoyed,I can imagine perhaps its a good way to get someone to fix the steps
2088,annoyed,Yea im fine but it was quite an embarrasing and frustrating situation
2093,disgusted,Oh no I hope your kid wasnt too upset Maybe need to lock the dog in another room when food is out
2094,disgusted,Well thats good they yall still had cake Im sure you will laugh about this in the future
2095,disgusted,I cant blame him for making a move like that I thought he was outside at the moment Well we were able to salvage enough for the party
2102,angry,That is terrifying Let me guess they were on their phone
2103,angry,I would have been mad too People on their phones drive like drunk drivers So dangerous
2104,angry,Yep and they ran a redlight I was super ticked off was on my way to work
2161,annoyed,Thats the worst Mine was up extra late tonight too
2162,annoyed,I know We just read a bedtime story where the mom paints a night scene on the childs blind to make her feel better
2163,annoyed,It stays bright so late nowadays that its impossible to get them to go to bed 
2195,angry,No way What happenedwas there a confrontation
2196,angry,Oh ok I take it he was cat calling There are classier ways of appreciating art
2197,angry,Haha Well who can judge art right
2198,angry,AlmostI should have This guy just kept gawking at my rear and making comments Its so uncomfortable
2199,angry,Yeah except this art was wearing baggy sweat pants today 
2200,angry,I suppose you do have a point there
2215,annoyed,Serious Dont you like pizza
2216,annoyed,So bad from the vendor
2217,annoyed,It was not a question of likebut what I orderedThat was a careless service I must say
2218,annoyed,YeahI heart beat increasedI blood roseit was like I should uhmmnn You can guess 
2219,disgusted,Haha that is terrible Unless he was hot
2220,disgusted,Well in his defense its pretty hot out
2221,disgusted,Not even close I cant believe someone would do that
2313,annoyed,Awe I am sorry What made it tough
2314,annoyed,I hate when bosses are like that Is he normally like that If so I would sit him down and talk to him and tell him how his actions are affecting you
2315,annoyed,My boss kept criticizing my work He kept bugging on me to an unbearable point
2325,angry,How terrible I bet your heart stopped in that moment
2326,angry,People seem to only care about themselves a lot
2327,angry,Yea it did I was so frustrated that someone could be so careless
2435,angry,Sure my dad is a Cowboys fan He misses the days of Troy Aikman and Emmett Smith
2436,angry,Yeah I remember as a boy watching those guys They creamed Buffalo in the Super Bowl
2437,angry,I agree Emmett Smith is an awesome runningback  Dez Bryant just ran his mouth too much and was too emotional  Its a shame and hes still unemployed  How upsetting  Troy Aikman was a great quarterback and a great commentator
2438,angry,I agree they were some good games between the fills and cowboys
2439,angry,Road rage is a problem I deal with too  I have adult add and tend to be impulsive and am horrible at socializing  Im glad your alright and I dont blame you for getting stressed out by that
2440,angry,I cant believe she didnt at least apologize or wave sorry  Thats why cell phones are horrible and can cause accidents  Im glad your ok
2441,angry,Yeah and then when I finally got around her I saw she was yakking on her cell phone completely oblivious to the world around her So annoying
2456,disgusted,i think you have the same attitude like me i really feel pissed off
2457,disgusted,the best way is to tame it well so that it will have good manners
2458,disgusted,Yea I hate having to pick it up afterwards
2537,annoyed,That happens to me all the time because I drive a large van with a lot of extras  It is such a pain
2538,annoyed,Maybe we both need to buy one of those chargers that you can keep in your car so you dont have to ask for a jump
2539,annoyed,Yea it makes me want to just walk back inside and go back to sleep and ignore everything
2555,angry,That is a disgrace Some people just do not get it
2556,angry,That is understandable When did this incident occur
2557,angry,I feel like punching him in the face He was so rude and stupid 
2809,angry,I bet you wore shoes on the street for a while
2810,angry,Thats too bad
2811,angry,Aye I did it because I lost a 500 bet 
2833,angry,Did your girlfriend cheat on you 
2834,angry,But most people are still faithful in their relationship 
2835,angry,yes a long time ago she did
2843,annoyed,Oh thats frustrating have you told them how you felt
2844,annoyed,Oh thats too bad I wonder if you could find a way to politely say something so you can focus
2845,annoyed,No I am too shy to do that This coworker start endless conversation and keep talking and talking It is delaying me in work
2912,angry,Oh no can you wash it
2913,angry,That is worrying you might have to throw it out
2914,angry,Yes but I can never get the smell out
2915,angry,I probably will throw it out
2919,angry,Wow that cat must have loved that shoe he wanted it
2920,angry,That is true especially when you dont give them attention
2921,angry,Yea they seem to know what you care about and try and ruin it
2933,disgusted,Hahahaha what was she thinking 
2934,disgusted,Its really annoying right
2935,disgusted,A lot of those people are trashy or druggies really sickening to be around
2949,annoyed,do what
2950,annoyed,Yeah they give up
2951,annoyed,Some people dont have any reason of ignoring calls
2975,angry,Wow did he forget your address
2976,angry,Wow that is really nice
2977,angry,No Im pretty sure they have something against me because both my neighbors get their mail
2982,disgusted,this is so funnyi didnt hear it anywhere
2983,disgusted,oh reallyits  sounds terrible
2984,disgusted,I was horrified I do not want anything from him again just the thought of the bacteria freaks me out
2985,disgusted,It totally is
2999,annoyed,I hate when my cat used to do that Would this happen often
3000,annoyed,Cats can really be such strange pets sometimes I swear they live off of our momentary hatred for them
