,emotion,labels_clean
27,sad,Wow that must be terrible I cannot imagine I lvoe christmas
28,sad,Wow I am sorry to hear that I wish I could make it a better holiday for you
29,sad,Since that day christmas has not been a good time for me As I have no family christmas is always the worst
30,sad,Some days are just days that you never forget I wish you could as well
37,sad,What happened
38,sad,I am sorry to hear that I hope you find a better opportunity Did you know why they rejected you
39,sad,Got rejected from a place I wanted to work not once but three times 
40,sad,Thanks they gave me the same generic lines you always hear 
66,lonely,I felt sad and depressed due to my insecurities and felt rejected from society
67,lonely,The problem is I dont think you can grew out of my specific insecurity
68,lonely,Yes I felt that way for a while But then I grew used to the solitude
136,sad,That is heartbreaking its always helped me to remember that no matter what happens you have your memories with them
137,sad,Absolutely its a chapter of your life and as long as you have those memories they live on through those memories
138,sad,That is true we got her when I was 3 years old so I kind of grew up with her Ill never forget those memories
188,sad,Thats terrible have you gotten a new phone yet 
189,sad,Thats true but I hope some good luck comes your way soon
190,sad,yes i did but i still can not get that money
207,sad,Oh my gosh I would have been so upset Nothing is better than chocolates on a bad day
208,sad,Thats definitely better than nothing I hope your days have been better since
209,sad,I know right  but atleast I had some amaretto in the fridge lol 
368,lonely,O wow that is a long time Are you happy with it
369,lonely,Im sorry to hear that sometimes people grow apart You should try to throw a party and see who comes
370,lonely,Its getting smaller but my friends used to come over more Now Im by myself all the time
371,lonely,Sounds like a plan
372,lonely,congratulations I know it probably feels lonely Maybe you should do a party at your house and invite all the neighbours
373,lonely,you cant go wrong with some grilled food  burgers wings hot dogs 
374,lonely,That actually sounds like a really good idea Thank you now to decide what to cook lol
379,sad,Oh no Did they say why
380,sad,Hopefully it might be reconsidered later on
381,sad,I guess it just did not get enough funding It just sucks because it is my favorite movie
382,sad,That is what im thinking but you can never tell with these things
399,sad,oh no sorry to hear that I just lost mine in November Its hard
400,sad,People say it gets easier Im still waiting for that part
401,sad,I hope so Nice chatting with you
402,sad,Yes it is She was the grandparent I was closest to
403,sad,Yes I believe that time is the best way to heal
404,sad,You as well Have a great day
447,sad,Did you go through a breakup recently
448,sad,Happy Birthday Well you can order out of course 
449,sad,IF two years is recent lol Today is my birthday and I dont want to cook
450,sad,I think I will
458,lonely,That is a nice thing you are doing for her though Maybe you could hire somebody for a few hours a week and join a gym or yoga class 
459,lonely,Go to a walking path or park Maybe to a dog park also 
460,lonely,Thank you Cant afford outside help unfortunatley Yes I have picked up exercising though
465,sad,I am sorry to hear that is there any physical therapy that can help her 
466,sad,Usually moving your body helps but it depends on her situation i would get a 2nd opinion
467,sad,The doctor just recommended exercise Im not sure if they were just busy to do anymore for her or if exercise is the best
491,sad,Im so sorry to hear that How sad for you
492,sad,Did he ditch you as well And how did the girlfriend react
493,sad,It is Ive been absorbed in work for the last 3 years and havent gone out So I guess everyone kinda moved on without me
498,sad,Thats so terrible  Im really sorry you should do something special everyday and make memories 
499,sad,It really doesnt i had to put my dog to sleep and it was extremely painful I really hope that he can rest without pain and that you can feel better soon 
500,sad,I plan on it He is really old so it is just his time to go and I get that but that doesnt make it any easier
501,sad,Yeah It is just one of those things we all have to go through at some point
510,sad,oh no Im sorry to hear that
511,sad,I dont My apartment wont allow but we are moving soon I hope to get a cat
512,sad,Thanks it always sucks when you have to say goodbye but shes better off now without pain Do you have any pets 
526,lonely,Thats sucks You just have to warm up to people
527,lonely,I would be so scared to move to a new place I commend you Itll get better
528,lonely,Yea Its going to take some time Its just tough going through it right now
581,sad,oh no Im sorry to hear that
582,sad,OF course Pets are family
583,sad,He is really old but I hate that it happened you know
589,sad,I hope someone turns it in soon to you did you lose out on money too 
590,sad,Yeah a real pain honestly im sorry that happened to you  
591,sad,I usually dont have much cash on me but the cards are hard to replace
608,lonely,Try online dating Its actually really fun have you tried it 
609,lonely,Dont feel that way theres someone out there for everyone Give it a try  
610,lonely,Yeah I just feel like it is no use 
611,lonely,OK I geuss I can try to apply myself more
619,sad,Im sorry to hear that Was it from age or complications
620,sad,Yeah that is not good But everyone does have a time to go you know
621,sad,Age but she also smoked
852,lonely,Why are you alone so much in the summer
853,lonely,Do you have friends around Go to a bar and meet some friends
854,lonely,My wife goes to Canada to visit her mom
906,sad,Oh no that really sucks Thats awful that she wanted to end things especially since you were really into her I am sorry
907,sad,Thats really odd and unfortunate Thankfully there are many more girls that would match you better  Dont lose hope
908,sad,Its fine Im feeling a lot better about it The thing that irks me is that she went from super happy about dating to literally ending it and ghosting me in so little time Makes me think it was all fake but I cant think why she would do it
936,sad,Wow thats terrible Why would he do that to you
937,sad,Im sorry youre having to go through that I hope youre able to sell the home for a better price
938,sad,Thats just terrible Some people really are ungrateful
939,sad,Well hopefully hell learn to be a better person someday or eventually his actions will come back to haunt him
940,sad,I have no idea I guess his husband is evil 
941,sad,me too and do you know what makes me mad  When I had a good job I helped them a lot and now they are trying to do this to me
942,sad,I know right My own nephew trying to do this with me
981,lonely,I am sorry to hear that maybe things will work themselves out
982,lonely,I feel bad I hope you find someone who treats you even better
983,lonely,I hope so to never thought this would happen we were suppose to get a house together
984,lonely,Thank You I hope I will also because I deserve it and so do you
